users;0;500;1000;1500;2000;2500;3000;3500;4000;4500;5000;5500;6000;6500;7000;7500;8000;8500;9000;9500;10000
0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10%;0;3600;7200;10800;14400;18000;21600;25200;28800;32400;36000;39600;43200;46800;50400;54000;57600;61200;64800;68400;72000
20%;0;7200;14400;21600;28800;36000;43200;50400;57600;64800;72000;79200;86400;93600;100800;108000;115200;122400;129600;136800;144000
30%;0;10800;21600;32400;43200;54000;64800;75600;86400;97200;108000;118800;129600;140400;151200;162000;172800;183600;194400;205200;216000
40%;0;14400;28800;43200;57600;72000;86400;100800;115200;129600;144000;158400;172800;187200;201600;216000;230400;244800;259200;273600;288000
50%;0;18000;36000;54000;72000;90000;108000;126000;144000;162000;180000;198000;216000;234000;252000;270000;288000;306000;324000;342000;360000
60%;0;21600;43200;64800;86400;108000;129600;151200;172800;194400;216000;237600;259200;280800;302400;324000;345600;367200;388800;410400;432000
70%;0;25200;50400;75600;100800;126000;151200;176400;201600;226800;252000;277200;302400;327600;352800;378000;403200;428400;453600;478800;504000
80%;0;28800;57600;86400;115200;144000;172800;201600;230400;259200;288000;316800;345600;374400;403200;432000;460800;489600;518400;547200;576000
90%;0;32400;64800;97200;129600;162000;194400;226800;259200;291600;324000;356400;388800;421200;453600;486000;518400;550800;583200;615600;648000
100%;0;36000;72000;108000;144000;180000;216000;252000;288000;324000;360000;396000;432000;468000;504000;540000;576000;612000;648000;684000;720000
